codVehiProf	idProfFK	placaFK
	1100000001	ABC123
	1100000002	ABC124
	1100000003	ABC125
	1100000004	ABC126
	1100000005	ABC127
	1100000006	ABC128
	1100000007	ABC129
	1100000008	ABC130
	1100000009	ABC131
	1100000010	ABC132
	1100000011	ABC133
	1100000012	ABC134
	1100000013	ABC135
	1100000014	ABC136
	1100000015	ABC137
	1100000016	ABC138
	1100000017	ABC139
	1100000018	ABC140
	1100000019	ABC141
	1100000020	ABC142
	1100000021	ABC143
	1100000022	ABC144
	1100000023	ABC145
	1100000024	ABC146
	1100000025	ABC147
	1100000026	ABC148
	1100000027	ABC149
	1100000028	ABC150
	1100000029	ABC151
	1100000030	ABC152
	1100000031	ABC153
	1100000032	ABC154
	1100000033	ABC155
	1100000034	ABC156
	1100000035	ABC157
	1100000036	ABC158
	1100000037	ABC159
	1100000038	ABC160
	1100000039	ABC161
	1100000040	ABC162
	1100000041	ABC163
	1100000042	ABC164
	1100000043	ABC165
	1100000044	ABC166
	1100000045	ABC167
	1100000046	ABC168
	1100000047	ABC169
	1100000048	ABC170
	1100000049	ABC171
	1100000050	ABC172
