codCategoria	nombreCat	tipoCat	placaVehiFK
	B2	Particular	ABC123
	B2	Particular	ABC124
	B2	Particular	ABC125
	B2	Particular	ABC126
	B2	Particular	ABC127
	B2	Particular	ABC128
	B2	Particular	ABC129
	B2	Particular	ABC130
	B2	Particular	ABC131
	B2	Particular	ABC132
	C1	Publico	ABC133
	C1	Publico	ABC134
	C1	Publico	ABC135
	C1	Publico	ABC136
	C1	Publico	ABC137
	C2	Camiones	ABC138
	C2	Camiones	ABC139
	C2	Camiones	ABC140
	C2	Camiones	ABC141
	C2	Camiones	ABC142
	C3	Articulado	ABC143
	C3	Articulado	ABC144
	C3	Articulado	ABC145
	C3	Articulado	ABC146
	C3	Articulado	ABC147
	B2	Particular	ABC148
	B2	Particular	ABC149
	B2	Particular	ABC150
	B2	Particular	ABC151
	B2	Particular	ABC152
	C1	Publico	ABC153
	C1	Publico	ABC154
	C1	Publico	ABC155
	C1	Publico	ABC156
	C1	Publico	ABC157
	C2	Camiones	ABC158
	C2	Camiones	ABC159
	C2	Camiones	ABC160
	C2	Camiones	ABC161
	C2	Camiones	ABC162
	C3	Articulado	ABC163
	C3	Articulado	ABC164
	C3	Articulado	ABC165
	C3	Articulado	ABC166
	C3	Articulado	ABC167
	B2	Particular	ABC168
	B2	Particular	ABC169
	B2	Particular	ABC170
	B2	Particular	ABC171
	B2	Particular	ABC172
